event_id,country,region,year,lat,lon,source_index,n_eo_scenes_est,perimeter_source,license,class,url,r1,r2,r3,r4,r5,r6,notes
CL_EMSR715_VALPARAISO,CL,Valparaíso,2024,-33.0439,-71.5269,CEMS EMSR715 AOI01,6,CEMS FEP+DEL+GRA Rapid Mapping JSON,Copernicus open,ml_weak,https://mapping.emergency.copernicus.eu/activations/EMSR715/,1,1,1,1,1,1,P1-A pack hashed under data/open_if/latam_au/cl/CL_EMSR715_VALPARAISO/ (3 CEMS JSON labels + 3 S2 NBR); Rapid Mapping API not old S3; still ml_weak L2 proxy
CL_CONAF_REQUEST,CL,national,,-33.4500,-70.6667,CONAF agency,0,agency perimeter request,mixed request_only,context_only,https://www.conaf.cl/,0,0,0,0,1,0,Formal data request track (P2-A); do not train until written rights
BR_PANTANAL_2020_MAPBIOMAS,BR,Pantanal,2020,-17.0000,-57.0000,MapBiomas Fogo + INPE,6,MapBiomas annual burned window,CC-BY MapBiomas,ml_weak,https://plataforma.brasil.mapbiomas.org/fire/fire_total_burned,1,1,1,1,1,1,P1-A L1 pack hashed under data/open_if/latam_au/br/BR_PANTANAL_2020_MAPBIOMAS/ (annual 2018-2020 windows + 3 S2 NBR); not intra-event perimeter
BR_CERRADO_MAPBIOMAS_SAMPLE,BR,Cerrado,2022,-15.7801,-47.9292,MapBiomas Fogo annual,3,MapBiomas burned,CC-BY MapBiomas,ml_weak,https://brasil.mapbiomas.org/,0,1,0,1,1,0,National MapBiomas collection; pick high-severity Cerrado tile after download
BR_INPE_FOCOS_INDEX,BR,national,,-14.2350,-51.9253,INPE BDQueimadas,0,hotspots only,INPE open,ml_weak,https://data.inpe.br/queimadas/bdqueimadas/,0,0,0,1,1,0,Active fire points; densify then attach burned scar for any event
BR_TERRABRASILIS,BR,national,,-14.2350,-51.9253,TerraBrasilis downloads,0,vector/raster portal,INPE open,context_only,https://terrabrasilis.dpi.inpe.br/,0,0,0,1,1,0,Download hub for INPE products; not a single-fire pack
MX_EMSR717_2024,MX,national (CEMS 2024),2024,16.7700,-94.1250,CEMS EMSR717 AOI01 Benito Juarez,5,CEMS delineation,Copernicus open,ml_weak,https://rapidmapping.emergency.copernicus.eu/EMSR717/reporting,1,1,1,1,1,0,CSV id remains MX_EMSR717_2024 (R6=0). Pack event_id MX_EMSR717 materialized under data/open_if/latam_au/mx/MX_EMSR717/ with hashed meta.json (3 Rapid JSON labels). Still ml_weak L2 proxy; not O2/CONAF.
MX_CONAFOR_DATOS,MX,national,,23.6345,-102.5528,CONAFOR datos.gob.mx,0,tabular fire series,MX open data,context_only,https://www.datos.gob.mx/dataset/incendios_forestales,0,0,0,1,1,0,CSV historical stats; polygons may need separate SNIF layers
GT_EMSR727_2024,GT,national,2024,15.5000,-90.2500,CEMS EMSR727,4,CEMS delineation,Copernicus open,ml_weak,https://rapidmapping.emergency.copernicus.eu/EMSR727/reporting,1,1,0,1,1,0,2024 Guatemala wildfires; Central America cluster with EMSR717/726
BZ_EMSR726_2024,BZ,national,2024,17.1899,-88.4976,CEMS EMSR726,4,CEMS delineation,Copernicus open,ml_weak,https://rapidmapping.emergency.copernicus.eu/EMSR726/reporting,1,1,0,1,1,0,2024 Belize wildfires CEMS activation
BO_EMSR765_2024,BO,national,2024,-15.1500,-62.3000,CEMS EMSR765 AOI01 El Macho,4,CEMS delineation,Copernicus open,ml_weak,https://mapping.emergency.copernicus.eu/activations/EMSR765/,1,1,1,1,1,0,CSV id remains BO_EMSR765_2024 (R6=0). Pack event_id BO_EMSR765 materialized under data/open_if/latam_au/bo/BO_EMSR765/ with hashed meta.json (3 Rapid JSON labels). Still ml_weak L2 proxy; not O2/CONAF.
GLOBAL_FIRMS_PROXY,GLOBAL,global,,,,NASA FIRMS,0,hotspots NRT,NASA open,ml_weak,https://firms.modaps.eosdis.nasa.gov/,0,0,0,1,1,0,Global weak-label proxy; never claim field-validated perimeter
GLOBAL_GWIS_GLOBFIRE,GLOBAL,global,,,,GWIS GlobFire / MCD64 downloads,1,coarse fire perimeters,JRC open research,ml_weak,https://gwis.jrc.ec.europa.eu/apps/country.profile/downloads,0,1,0,1,1,0,Coarse global perimeters 2002-2024; pretrain/discovery only
GLOBAL_CEMS_INDEX,GLOBAL,activations,,,,Copernicus EMS activations,0,activation index,Copernicus open,context_only,https://mapping.emergency.copernicus.eu/activations/,0,0,0,1,1,0,Hunt portal for new LATAM/AU EMSR codes
GLOBAL_S2_STAC_ELEMENT84,GLOBAL,eo,,,,Element84 Earth Search STAC,3,Sentinel-2 L2A inputs,Copernicus open,context_only,https://earth-search.aws.element84.com/v1,1,0,1,1,1,0,EO stack source for any bbox after perimeter known; not labels
