source_id,name,country_or_region,role,url,license_class,access,lab_ok_provisional,status,http_code,final_url,elapsed_ms,error,checked_at_utc,notes
BR_MAPBIOMAS_FOGO,MapBiomas Fogo / Fire,BR,annual_monthly_burned,https://brasil.mapbiomas.org/,open,open,True,reachable,200,https://brasil.mapbiomas.org/,400,,2026-08-12T22:57:37.969703Z,Annual/monthly burned scars Brazil; GEE toolkit; still need multi-date S2 for ml_strong.
BR_MAPBIOMAS_FOGO_PLATFORM,MapBiomas Fire platform,BR,burned_viewer_download,https://plataforma.brasil.mapbiomas.org/fire/fire_total_burned,open,open,True,reachable,200,https://plataforma.brasil.mapbiomas.org/fire/fire_total_burned,357,,2026-08-12T22:57:37.969703Z,Interactive burned area totals and downloads.
BR_MAPBIOMAS_FIRE_GITHUB,MapBiomas Fire algorithms (GitHub),BR,methods_code,https://github.com/mapbiomas-brazil/fire,open,open,True,reachable,200,https://github.com/mapbiomas-brazil/fire,730,,2026-08-12T22:57:37.969703Z,Reproducible classification code; not EO stacks.
CL_CONAF,CONAF Chile,CL,agency_index,https://www.conaf.cl/,mixed,request_only,False,reachable,200,https://www.conaf.cl/,1347,,2026-08-12T22:57:37.969703Z,Request perimeter+dates; prefer CEMS proxy until rights written.
CEMS_EMSR647_CL,CEMS EMSR647 Forest Fires Chile 2023,CL,cems_delineation,https://mapping.emergency.copernicus.eu/activations/EMSR647/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR647/,270,,2026-08-12T22:57:37.969703Z,2023-02; 7 AOIs many MONIT products (~38 products).
CEMS_EMSR715_CL,CEMS EMSR715 Valparaiso Chile 2024,CL,cems_delineation,https://mapping.emergency.copernicus.eu/activations/EMSR715/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR715/,312,,2026-08-12T22:57:37.969703Z,2024-02 Valparaiso/Viña deadly fires; rapid mapping + recovery EMSN188.
MX_CONAFOR,CONAFOR Mexico,MX,agency_index,https://www.gob.mx/conafor,mixed,mixed,False,reachable,200,https://www.gob.mx/conafor,535,,2026-08-12T22:57:37.969703Z,Agency hub; pair with datos.gob.mx fire tables.
MX_DATOS_INCENDIOS,CONAFOR incendios forestales (datos.gob.mx),MX,stats_tables,https://www.datos.gob.mx/dataset/incendios_forestales,open,open,True,unreachable,403,https://www.datos.gob.mx/dataset/incendios_forestales,408,http_403,2026-08-12T22:57:37.969703Z,Historical fire CSV series; often tabular not multi-date EO.
CEMS_EMSR717_MX,CEMS EMSR717 Wildfires Mexico 2024,MX,cems_delineation,https://rapidmapping.emergency.copernicus.eu/EMSR717/reporting,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR717/,935,,2026-08-12T22:57:37.969703Z,2024 Central America season bulletin; Mexico activation.
CEMS_EMSR726_BZ,CEMS EMSR726 Wildfires Belize 2024,BZ,cems_delineation,https://rapidmapping.emergency.copernicus.eu/EMSR726/reporting,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR726/,915,,2026-08-12T22:57:37.969703Z,2024 Central America wildfire activations cluster.
CEMS_EMSR727_GT,CEMS EMSR727 Wildfires Guatemala 2024,GT,cems_delineation,https://rapidmapping.emergency.copernicus.eu/EMSR727/reporting,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR727/,971,,2026-08-12T22:57:37.969703Z,2024 Guatemala wildfire delineation.
CEMS_EMSR765_BO,CEMS EMSR765 Wildfire Bolivia 2024,BO,cems_delineation,https://mapping.emergency.copernicus.eu/activations/EMSR765/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR765/,348,,2026-08-12T22:57:37.969703Z,2024-08 Bolivia activation (JRC catalogue EMSR765).
AR_SMN,SMN Argentina,AR,meteo_context,https://www.smn.gob.ar/,mixed,mixed,False,unreachable,403,https://www.smn.gob.ar/,406,http_403,2026-08-12T22:57:37.969703Z,Meteo context; pair FIRMS/CEMS for geometry.
CO_IDEAM,IDEAM Colombia,CO,agency_index,http://www.ideam.gov.co/,mixed,mixed,False,unreachable,,,40259,URLError:<urlopen error timed out>,2026-08-12T22:57:37.969703Z,Prefer FIRMS + any published burned layers.
GLOBAL_FIRMS,NASA FIRMS,GLOBAL,hotspots_global,https://firms.modaps.eosdis.nasa.gov/,open,open,True,reachable,200,https://firms.modaps.eosdis.nasa.gov/,745,,2026-08-12T22:57:37.969703Z,NRT MODIS/VIIRS hotspots; proxy only; not field-validated perimeter.
GLOBAL_FIRMS_EARTHDATA,NASA Earthdata FIRMS tool page,GLOBAL,docs,https://www.earthdata.nasa.gov/data/tools/firms,open,open,True,reachable,200,https://www.earthdata.nasa.gov/data/tools/firms,859,,2026-08-12T22:57:37.969703Z,Tool overview and access links.
GLOBAL_CEMS_HOME,Copernicus EMS On Demand Mapping,GLOBAL,activations_index,https://mapping.emergency.copernicus.eu/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/,239,,2026-08-12T22:57:37.969703Z,Activation search; vector packages per EMSR.
GLOBAL_CEMS_ACTIVATIONS,CEMS activations list,GLOBAL,activations_index,https://mapping.emergency.copernicus.eu/activations/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/,231,,2026-08-12T22:57:37.969703Z,Filter by wildfire / country for F0 hunt.
GLOBAL_CEMS_EMERGENCY,emergency.copernicus.eu,GLOBAL,service_home,https://emergency.copernicus.eu/,open,open,True,reachable,200,https://emergency.copernicus.eu/,571,,2026-08-12T22:57:37.969703Z,Service landing; use-cases.
GLOBAL_GWIS,GWIS Global Wildfire Information System,GLOBAL,global_fire_stats,https://gwis.jrc.ec.europa.eu/,open,open,True,reachable,200,https://gwis.jrc.ec.europa.eu/,595,,2026-08-12T22:57:37.969703Z,Current situation + historical downloads.
GLOBAL_GWIS_DOWNLOADS,GWIS data downloads,GLOBAL,burned_downloads,https://gwis.jrc.ec.europa.eu/apps/country.profile/downloads,open,open,True,reachable,200,https://gwis.jrc.ec.europa.eu/apps/country.profile/downloads,339,,2026-08-12T22:57:37.969703Z,MCD64A1 CSV + GlobFire perimeters 2002-2024; coarse/pretrain.
GLOBAL_ELEMENT84_STAC,Element84 Earth Search STAC (Sentinel-2),GLOBAL,eo_stac,https://earth-search.aws.element84.com/v1,open,open,True,reachable,200,https://earth-search.aws.element84.com/v1,733,,2026-08-12T22:57:37.969703Z,Pull multi-date S2 for any bbox after perimeter known.
GLOBAL_GFW_FIRES,Global Forest Watch fires,GLOBAL,hotspots_viewer,https://www.globalforestwatch.org/map/,mixed,open,True,reachable,200,https://globalnaturewatch.org/map/,764,,2026-08-12T22:57:37.969703Z,Discovery UI; prefer original FIRMS for provenance.
